name,prompt,negative_prompt
[NEGATIVE]::aniflatmix,,"easynegative, badhandv4, "
[NEGATIVE]::Anime,,"anatomical nonsense, artist name, bad anatomy, bad animal ears, bad ears, bad eyes, bad face, bad feet, bad hairs, bad hands, bad knee, bad legs, bad mouth, bad posing, bad proportions, bad shoes, bad thigh gap, bad tongue, big face, big mouth, blurry, cloned face, cropped, deformed, disappearing calf, disappearing legs, disappearing thigh, disfigured, duplicate, error, extra animal ears, extra arms, extra calf, extra digits, extra ears, extra eyes, extra faces, extra feet, extra fingers, extra knee, extra legs, extra limbs, extra shoes, extra thighs, fewer digits, fused animal ears, fused calf, fused clothes, fused ears, fused eyes, fused face, fused feet, fused fingers, fused hairs, fused mouth, fused shoes, fused thigh gap, gross proportions, hands in wrong places, heavy animal ears, heavy ears, huge calf, huge thighs, jpeg artifacts, legs in wrong places, limbs in wrong places, liquid animal ears, liquid body, liquid ears, liquid thigh gap, liquid tongue, long body, long face, long neck, low quality, lowres, malformed feet, malformed limbs, malformed, missing animal ears, missing arms, missing calf, missing ears, missing feet, missing fingers, missing legs, missing thigh gap, missing thighs, more than 2 legs, more than 2 shoes, more than 2 thighs, mutated hands, mutated, mutation, mutilated, out of frame, poorly drawn animal ears, poorly drawn clothes, poorly drawn ears, poorly drawn eyes, poorly drawn face, poorly drawn feet, poorly drawn hair, poorly drawn hands, poorly drawn mouth, poorly drawn shoes, poorly drawn thigh gap, poorly drawn, signature, text, too many fingers, ugly, uncoordinated body, unnatural body, username, watermark, worst quality, wrong proportions,"
[NEGATIVE]::AnimeKawa,,"ng_deepnegative_v1_75t, easynegative, extra fingers, fewer fingers, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality,  jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000,"
[NEGATIVE]::AnythingV5_PrtRE,,"(worst quality, low quality, blurry:1.66), (bad hand:1.4), watermark, (greyscale:0.88), multiple limbs, (deformed fingers, bad fingers:1.2), (ugly:1.3), monochrome, horror, geometry, bad anatomy, bad limbs, (Blurry pupil), (bad shading), error, bad composition, Extra fingers, strange fingers, Extra ears, extra leg, bad leg, disability, Blurry eyes, bad eyes, Twisted body, confusion, (bad legs:1.3),"
[NEGATIVE]::AnythingV5_v3++Ink,,"(worst quality, low quality, blurry:1.66), (bad hand:1.4), watermark, (greyscale:0.88), multiple limbs, (deformed fingers, bad fingers:1.2), (ugly:1.3), monochrome, horror, geometry, bad anatomy, bad limbs, (Blurry pupil), (bad shading), error, bad composition, Extra fingers, strange fingers, Extra ears, extra leg, bad leg, disability, Blurry eyes, bad eyes, Twisted body, confusion, (bad legs:1.3),"
[NEGATIVE]::AnythingV5V3,,"artist name, bad anatomy, bad hands, bad legs, bad proportion, blurry, cloned face, cropped, deformed, disfigured, duplicate, error, extra arms, extra digits, extra fingers, extra legs, extra limbs, extra faces, fewer digits, fused fingers, fused clothes, gross proportion, jpeg artifacts, long neck, low quality, lowres, malformed limbs, missing arms, missing fingers, missing legs, mutated hands, mutation, out of frame, poorly drawn face, poorly drawn hands, signature, text, too many fingers, (((ugly))), username, watermark, worst quality,"
[NEGATIVE]::COCOtiFaMix,," ng_deepnegative_v1_75t, easynegative, extra fingers, fewer fingers, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality,  jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000,"
[NEGATIVE]::ColorBoxModel,,"easynegative,"
[NEGATIVE]::ColorMagination,,"ng_deepnegative_v1_75t, EasyNegativeV2, extra fingers, fewer fingers, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), Negative2, (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000,"
[NEGATIVE]::Counterfeit Model Character,,"artist name, bad anatomy, bad hands, bad legs, bad proportion, blurry, cloned face, cropped, deformed, disfigured, duplicate, error, extra arms, extra digits, extra fingers, extra legs, extra limbs, extra faces, fewer digits, fused fingers, fused clothes, gross proportion, jpeg artifacts, long neck, low quality, lowres, malformed limbs, missing arms, missing fingers, missing legs, mutated hands, mutation, out of frame, poorly drawn face, poorly drawn hands, signature, text, comments, too many fingers, (((ugly))), username, watermark, worst quality, out of frame, out of shot, out of picture,"
[NEGATIVE]::Counterfeit,,"easynegative,"
[NEGATIVE]::CuteYukiMix,,"ng_deepnegative_v1_75t, easynegative, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000"
[NEGATIVE]::CuteYukiMix_KanaShow,,"ng_deepnegative_v1_75t, easynegative, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000,"
[NEGATIVE]::DoraYakiMix,,"easynegative, nsfw, (low quality, worst quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit, fewer digits,(extra arms:1.2), 2girl, lanjiao5, text,"
[NEGATIVE]::GameConceptMap,,"(worst quality, low quality:1.4), monochrome, zombie, logo_text,"
[NEGATIVE]::General,,"(((bad anatomy))), (((ugly))), anatomical nonsense, artist name, bad animal ears, bad ears, bad eyes, bad face, bad feet, bad hairs, bad hands, bad knee, bad legs, bad mouth, bad posing, bad proportions, bad shoes, bad thigh gap, bad tongue, bandy, big face, big mouth, blurry, cloned face, contorted, crooked, cropped, curved, deformed, disappearing calf, disappearing legs, disappearing thigh, disfigure, disfigured body, disfigured, disproportionate, distorted, duplicate, error, extra animal ears, extra arms, extra calf, extra digits, extra ears, extra eyes, extra faces, extra feet, extra fingers, extra knee, extra legs, extra limbs, extra shoes, extra thighs, fewer digits, fewer limbs, fused animal ears, fused calf, fused clothes, fused ears, fused eyes, fused face, fused feet, fused fingers, fused hairs, fused mouth, fused shoes, fused thigh gap, gross proportions, hands in wrong places, heavy animal ears, heavy ears, huge calf, huge thighs, ill-proportioned, irregular, jpeg artifacts, liquid animal ears, liquid body, liquid ears, liquid thigh gap, liquid tongue, long body, long face, long neck, low quality, lowres, malformed feet, malformed limbs, malformed, misproportioned, misshapen, missing animal ears, missing arms, missing calf, missing ears, missing feet, missing fingers, missing legs, missing limbs, missing thigh gap, missing thighs, more than 2 eyes, more than 2 legs, more than 2 shoes, more than 2 thighs, mutated hands, mutated, mutation, mutilated, out of frame, out of shape, poorly drawn animal ears, poorly drawn clothes, poorly drawn ears, poorly drawn eyes, poorly drawn face, poorly drawn feet, poorly drawn hair, poorly drawn hands, poorly drawn mouth, poorly drawn shoes, poorly drawn thigh gap, poorly drawn, recurved, signature, skewed, text, too many fingers, twisted, uncoordinated body, unnatural body, username, warped, watermark, worst quality,"
[NEGATIVE]::GuoFeng (国风),,"(((simple background))), monochrome, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, ugly, pregnant, vore, duplicate, morbid, mutilated, trannsexual, hermaphrodite, long neck, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, bad proportions, malformed limbs, extra limbs, cloned face, disfigured, gross proportions, (((missing arms))), (((missing legs))), (((extra arms))), (((extra legs))), pubic hair, plump, bad legs, error legs, bad feet,"
[NEGATIVE]::HighRiseMix,,"easynegative, moss, phone, man, pedestrians, extras, border, outside border, white border,"
[NEGATIVE]::KawaCCMix,,"ng_deepnegative_v1_75t, easynegative, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (worst quality, low quality:1.4), (bad anatomy), (inaccurate limb:1.2), bad composition, inaccurate eyes, extra digit,fewer digits, (extra arms:1.2), (bad-artist:0.6), bad-image-v2-39000,"
[NEGATIVE]::KawAICE_channel,,"(mutated hands and fingers:1.5 ),(mutation, poorly drawn :1.2), (long body :1.3), (mutation, poorly drawn :1.2), liquid body, text font ui, long neck, uncoordinated body, fused ears, (ugly:1.4), one hand with more than 5 fingers, one hand with less than 5 fingers,"
[NEGATIVE]::KawaiiMix,,"easynegative, badhandv4,"
[NEGATIVE]::MeinaMix,,"(worst quality, low quality:1.4), (zombie, sketch, interlocked fingers, comic),"
[NEGATIVE]::Minimum,,"(low quality:1.3), (worst quality:1.3), (monochrome:0.8), (deformed:1.3), (malformed hands:1.4), (poorly drawn hands:1.4), (mutated fingers:1.4), (bad anatomy:1.3), (extra limbs:1.35), (poorly drawn face:1.4), (signature:1.2), (artist name:1.2), (watermark:1.2),"
[NEGATIVE]::MinimumEmbeddings,,"easynegative, badhandv4, verybadimagenegative_v1.3"
[NEGATIVE]::QuinceMix,,"easynegative,"
[NEGATIVE]::Ra-Render,,"lowres, normal quality, worst quality, cropped, blurry, drawing, painting,"
[NEGATIVE]::Thumbelina,,"(worst quality, low quality:1.4), (bad_prompt_version2:0.8), easynegative, badhandv4, text, name, letters, watermark,"
[NEGATIVE]::YuzusoftStyle,,"(low quality:1.4), (worst quality:1.4), watermark, artist name, signature, letterboxedet, strabismus, pen, pencil, text, watermark, artist name, signature, letterboxed,"
[POSITIVE]::aniflatmix,"([ligne claire|lineart|monochrome]),",
[POSITIVE]::Anime,"(((beautiful detailed eyes))), (((masterpiece))), (((proper body proportions))), (((ultra-detailed))), best quality, anime, cinematic lighting, depth of field, game cg, illustration,",
[POSITIVE]::AnythingV5V3,"official art, (((1girl))), simple background, [(white background:1.5)::0.2], cinematic lighting, (white background:1.2), illustration, ((full body)), proper body proportions, ",
[POSITIVE]::Counterfeit Model Character,"official art, (((1girl, full body, beautiful detailed eyes))), simple background, [(white background:1.5)::0.2], cinematic lighting, (white background:1.2), illustration, (((proper body proportions))), light blue, long hair, ribbon, hair decorations, simple dress, cute,",
[POSITIVE]::Counterfeit,"girl,",
[POSITIVE]::DoraYakiMix,"(Masterpiece), (Best quality), (Extremely Detailed CG Unity 8k Wallpaper), (high resolution), (Best background details:1.26), (Best character details:1.36), (pastel (medium):1.35), sparkle, 1girl,",
[POSITIVE]::GameConceptMap,"(masterpiece:1.2), best quality, high resolution, unity 8k wallpaper, (illustration:1), scenery, no humans,",
[POSITIVE]::HighRiseMix,"(masterpiece, best quality, excellent quality), ((1girl, solo)), sky, city, (skyscrapers), trees, pavement, lens flare,",
[POSITIVE]::KawaiDiffusion,"1girl, cat ears, blush, nose blush, white hair, red eyes, masterpiece, best quality, small breasts, full body,",
[POSITIVE]::LigneClaireAnime,"ligne claire, ([flat color|limited palette|low contrast|high contrast|chromatic aberration]),",
[POSITIVE]::Ra-Render,"modern architecture style, photo realistic, hyper detailed photo, human perspective,",